user_id,item_id,timestamp
1,手机,2024-01-01
1,手机壳,2024-01-01
4,手机,2024-01-01
7,手机,2024-01-01
10,手机,2024-01-01
2,平板,2024-01-01
5,平板,2024-01-01
8,平板,2024-01-01
3,笔记本,2024-01-01
3,键盘,2024-01-01
6,笔记本,2024-01-01
6,鼠标,2024-01-01
6,笔记本包,2024-01-01
9,笔记本,2024-01-01
1,充电器,2024-01-02
4,移动电源,2024-01-02
10,充电器,2024-01-02
2,平板保护套,2024-01-02
2,键盘,2024-01-02
5,触控笔,2024-01-02
5,平板保护套,2024-01-02
8,键盘,2024-01-02
9,鼠标,2024-01-02
9,笔记本包,2024-01-02
1,蓝牙耳机,2024-01-03
4,充电器,2024-01-03
4,手机壳,2024-01-03
7,充电器,2024-01-03
7,手机壳,2024-01-03
10,手机壳,2024-01-03
5,无线鼠标,2024-01-03
6,键盘,2024-01-03
1,移动电源,2024-01-04
2,触控笔,2024-01-04
5,键盘,2024-01-04
8,触控笔,2024-01-04
8,平板保护套,2024-01-04
3,鼠标,2024-01-04
3,笔记本包,2024-01-04
9,键盘,2024-01-04
9,机械键盘,2024-01-04
1,耳机,2024-01-05
4,耳机,2024-01-05
7,耳机,2024-01-05
10,耳机,2024-01-05
8,外接显示器,2024-01-05
3,无线鼠标,2024-01-05
9,游戏鼠标,2024-01-05
7,手机支架,2024-01-06
3,耳机,2024-01-06
1,手机支架,2024-01-07
7,无线耳机,2024-01-07
2,外接显示器,2024-01-07
6,耳机,2024-01-07
1,无线耳机,2024-01-08
4,无线耳机,2024-01-08
4,手机支架,2024-01-08
3,机械键盘,2024-01-08
6,无线鼠标,2024-01-08
1,充电器,2024-01-15
1,蓝牙耳机,2024-01-15
4,充电器,2024-01-15
7,充电器,2024-01-15
10,充电器,2024-01-15
2,触控笔,2024-01-15
1,手机,2024-02-01
4,手机,2024-02-01
4,充电器,2024-02-01
4,移动电源,2024-02-01
7,手机,2024-02-01
10,手机,2024-02-01
10,手机壳,2024-02-01
2,平板,2024-02-01
5,平板,2024-02-01
5,键盘,2024-02-01
8,平板,2024-02-01
8,键盘,2024-02-01
3,笔记本,2024-02-01
6,笔记本,2024-02-01
6,鼠标,2024-02-01
6,笔记本包,2024-02-01
9,笔记本,2024-02-01
1,充电器,2024-02-02
1,移动电源,2024-02-02
4,手机壳,2024-02-02
7,充电器,2024-02-02
2,触控笔,2024-02-02
2,平板保护套,2024-02-02
5,平板保护套,2024-02-02
5,无线鼠标,2024-02-02
3,无线鼠标,2024-02-02
9,笔记本包,2024-02-02
4,耳机,2024-02-03
7,手机壳,2024-02-03
7,移动电源,2024-02-03
10,手机支架,2024-02-03
8,触控笔,2024-02-03
3,键盘,2024-02-03
9,鼠标,2024-02-03
1,手机壳,2024-02-04
4,手机支架,2024-02-04
7,手机支架,2024-02-04
10,充电器,2024-02-04
10,移动电源,2024-02-04
2,键盘,2024-02-04
5,触控笔,2024-02-04
8,平板保护套,2024-02-04
8,无线鼠标,2024-02-04
3,鼠标,2024-02-04
3,笔记本包,2024-02-04
6,键盘,2024-02-04
9,键盘,2024-02-04
7,耳机,2024-02-05
8,外接显示器,2024-02-05
6,耳机,2024-02-05
2,无线鼠标,2024-02-07
3,游戏鼠标,2024-02-07
1,耳机,2024-02-08
10,蓝牙耳机,2024-02-08
1,充电器,2024-02-15
4,蓝牙耳机,2024-02-15
7,充电器,2024-02-15
10,充电器,2024-02-15
10,耳机,2024-02-15
8,触控笔,2024-02-15
1,手机,2024-03-01
4,手机,2024-03-01
7,手机,2024-03-01
10,手机,2024-03-01
2,平板,2024-03-01
5,平板,2024-03-01
8,平板,2024-03-01
8,触控笔,2024-03-01
8,键盘,2024-03-01
3,笔记本,2024-03-01
6,笔记本,2024-03-01
6,键盘,2024-03-01
9,笔记本,2024-03-01
9,鼠标,2024-03-01
1,充电器,2024-03-02
4,手机壳,2024-03-02
4,耳机,2024-03-02
4,蓝牙耳机,2024-03-02
2,键盘,2024-03-02
5,平板保护套,2024-03-02
3,笔记本包,2024-03-02
6,笔记本包,2024-03-02
6,无线鼠标,2024-03-02
9,键盘,2024-03-02
4,充电器,2024-03-03
7,充电器,2024-03-03
2,平板保护套,2024-03-03
5,键盘,2024-03-03
8,无线鼠标,2024-03-03
3,外接显示器,2024-03-03
9,无线鼠标,2024-03-03
1,手机壳,2024-03-04
4,移动电源,2024-03-04
7,手机壳,2024-03-04
7,移动电源,2024-03-04
7,手机支架,2024-03-04
10,手机壳,2024-03-04
10,移动电源,2024-03-04
10,耳机,2024-03-04
10,手机支架,2024-03-04
2,触控笔,2024-03-04
5,触控笔,2024-03-04
8,平板保护套,2024-03-04
3,鼠标,2024-03-04
3,键盘,2024-03-04
6,鼠标,2024-03-04
9,笔记本包,2024-03-04
9,外接显示器,2024-03-04
1,无线耳机,2024-03-07
7,无线耳机,2024-03-07
10,蓝牙耳机,2024-03-07
1,蓝牙耳机,2024-03-08
10,无线耳机,2024-03-08
8,外接显示器,2024-03-08
9,机械键盘,2024-03-08
9,耳机,2024-03-08
1,充电器,2024-03-15
1,耳机,2024-03-15
4,蓝牙耳机,2024-03-15
7,充电器,2024-03-15
3,鼠标,2024-03-15
6,鼠标,2024-03-15
9,鼠标,2024-03-15
1,手机,2024-04-01
1,充电器,2024-04-01
1,移动电源,2024-04-01
4,手机,2024-04-01
7,手机,2024-04-01
7,移动电源,2024-04-01
10,手机,2024-04-01
10,手机壳,2024-04-01
2,平板,2024-04-01
2,平板保护套,2024-04-01
5,平板,2024-04-01
8,平板,2024-04-01
8,键盘,2024-04-01
3,笔记本,2024-04-01
6,笔记本,2024-04-01
6,键盘,2024-04-01
9,笔记本,2024-04-01
1,手机壳,2024-04-02
4,充电器,2024-04-02
4,移动电源,2024-04-02
7,手机壳,2024-04-02
2,触控笔,2024-04-02
2,键盘,2024-04-02
2,外接显示器,2024-04-02
8,触控笔,2024-04-02
8,平板保护套,2024-04-02
8,外接显示器,2024-04-02
3,笔记本包,2024-04-02
6,耳机,2024-04-02
4,手机壳,2024-04-03
7,充电器,2024-04-03
7,耳机,2024-04-03
10,移动电源,2024-04-03
5,平板保护套,2024-04-03
5,键盘,2024-04-03
9,鼠标,2024-04-03
9,键盘,2024-04-03
9,笔记本包,2024-04-03
4,手机支架,2024-04-04
10,无线耳机,2024-04-04
8,无线鼠标,2024-04-04
3,鼠标,2024-04-04
3,键盘,2024-04-04
3,外接显示器,2024-04-04
3,耳机,2024-04-04
6,笔记本包,2024-04-04
6,外接显示器,2024-04-04
9,外接显示器,2024-04-06
9,无线鼠标,2024-04-07
1,耳机,2024-04-08
4,蓝牙耳机,2024-04-08
6,无线鼠标,2024-04-08
1,充电器,2024-04-15
1,蓝牙耳机,2024-04-15
4,充电器,2024-04-15
7,充电器,2024-04-15
10,充电器,2024-04-15
2,键盘,2024-04-15
8,触控笔,2024-04-15
3,键盘,2024-04-15
1,手机,2024-05-01
1,移动电源,2024-05-01
4,手机,2024-05-01
7,手机,2024-05-01
10,手机,2024-05-01
2,平板,2024-05-01
5,平板,2024-05-01
5,平板保护套,2024-05-01
5,键盘,2024-05-01
8,平板,2024-05-01
8,键盘,2024-05-01
3,笔记本,2024-05-01
3,键盘,2024-05-01
6,笔记本,2024-05-01
9,笔记本,2024-05-01
1,充电器,2024-05-02
1,无线耳机,2024-05-02
4,充电器,2024-05-02
4,移动电源,2024-05-02
7,移动电源,2024-05-02
10,充电器,2024-05-02
10,移动电源,2024-05-02
8,平板保护套,2024-05-02
8,外接显示器,2024-05-02
3,鼠标,2024-05-02
3,笔记本包,2024-05-02
6,键盘,2024-05-02
6,耳机,2024-05-02
9,笔记本包,2024-05-02
4,手机壳,2024-05-03
10,手机壳,2024-05-03
10,手机支架,2024-05-03
2,键盘,2024-05-03
8,触控笔,2024-05-03
6,鼠标,2024-05-03
9,键盘,2024-05-03
1,手机壳,2024-05-04
1,耳机,2024-05-04
7,充电器,2024-05-04
7,耳机,2024-05-04
7,无线耳机,2024-05-04
2,触控笔,2024-05-04
5,触控笔,2024-05-04
8,无线鼠标,2024-05-04
6,笔记本包,2024-05-04
6,机械键盘,2024-05-04
1,手机支架,2024-05-05
4,耳机,2024-05-05
10,无线耳机,2024-05-05
5,无线鼠标,2024-05-05
5,外接显示器,2024-05-05
9,外接显示器,2024-05-05
2,外接显示器,2024-05-06
10,蓝牙耳机,2024-05-07
3,游戏鼠标,2024-05-07
4,手机支架,2024-05-08
3,耳机,2024-05-08
6,无线鼠标,2024-05-08
9,无线鼠标,2024-05-08
1,蓝牙耳机,2024-05-15
4,蓝牙耳机,2024-05-15
7,充电器,2024-05-15
7,耳机,2024-05-15
10,充电器,2024-05-15
2,触控笔,2024-05-15
8,触控笔,2024-05-15
9,键盘,2024-05-15
1,手机,2024-06-01
1,充电器,2024-06-01
4,手机,2024-06-01
4,移动电源,2024-06-01
7,手机,2024-06-01
7,手机壳,2024-06-01
10,手机,2024-06-01
10,充电器,2024-06-01
2,平板,2024-06-01
5,平板,2024-06-01
5,触控笔,2024-06-01
5,键盘,2024-06-01
8,平板,2024-06-01
8,触控笔,2024-06-01
3,笔记本,2024-06-01
